page,block_id,raw_label,content_preview,bbox,role,role_confidence,evidence,seed_role,seed_confidence,zone,style_family,marker_type,render_default,index_default
14,24,reference_content,"34. Stegen, S. et al. Glutamine metabolism controls chondrocyte identity and function. Dev. Cell 53, 530–544.e8 (2020).","[78.0, 1025.0, 559.0, 1057.0]",reference_item,0.85,"[""reference content label: 34. Stegen, S. et al. Glutamine metabolism controls chondroc""]",reference_item,0.85,reference_zone,reference_like,reference_numeric_dot,True,True
14,25,reference_content,"35. Yu, Y. et al. Glutamine metabolism regulates proliferation and lineage allocation in skeletal stem cells. Cell Metab. 29, 966–978.e4 (2019).","[78.0, 1057.0, 556.0, 1088.0]",reference_item,0.85,"[""reference content label: 35. Yu, Y. et al. Glutamine metabolism regulates proliferati""]",reference_item,0.85,reference_zone,reference_like,reference_numeric_dot,True,True
14,26,reference_content,"36. Solidum, J. G. N., Jeong, Y., Heralde, F. 3rd & Park, D. Differential regulation of skeletal stem/progenitor cells in distinct skeletal compartments. Front. Physiol. 14, 1137063 (2023).","[77.0, 1089.0, 566.0, 1134.0]",reference_item,0.85,"[""reference content label: 36. Solidum, J. G. N., Jeong, Y., Heralde, F. 3rd & Park, D.""]",reference_item,0.85,reference_zone,reference_like,reference_numeric_dot,True,True
14,27,reference_content,"37. Spencer, J. A. et al. Direct measurement of local oxygen concentration in the bone marrow of live animals. Nature 508, 269–273 (2014).","[77.0, 1137.0, 554.0, 1169.0]",reference_item,0.85,"[""reference content label: 37. Spencer, J. A. et al. Direct measurement of local oxygen""]",reference_item,0.85,reference_zone,reference_like,reference_numeric_dot,True,True
14,28,reference_content,"38. Loopmans, S., Stockmans, I., Carmeliet, G. & Stegen, S. Isolation and in vitro characterization of murine young-adult long bone skeletal progenitors. Front. Endocrinol. 13, 930358 (2022).","[77.0, 1171.0, 586.0, 1215.0]",reference_item,0.85,"[""reference content label: 38. Loopmans, S., Stockmans, I., Carmeliet, G. & Stegen, S. ""]",reference_item,0.85,reference_zone,reference_like,reference_numeric_dot,True,True
14,29,reference_content,"39. Stegen, S. et al. Adequate hypoxia inducible factor 1α signaling is indispensable for bone regeneration. Bone 87, 176–186 (2016).","[77.0, 1217.0, 586.0, 1248.0]",reference_item,0.85,"[""reference content label: 39. Stegen, S. et al. Adequate hypoxia inducible factor 1\u03b1 s""]",reference_item,0.85,reference_zone,reference_like,reference_numeric_dot,True,True
14,30,reference_content,"40. Kristensen, H. B., Andersen, T. L., Marcussen, N., Rolighed, L. & Delaisse, J. M. Increased presence of capillaries next to remodeling sites in adult human cancellous bone. J. Bone Miner. Res. 28,","[77.0, 1249.0, 581.0, 1295.0]",reference_item,0.85,"[""reference content label: 40. Kristensen, H. B., Andersen, T. L., Marcussen, N., Rolig""]",reference_item,0.85,reference_zone,reference_like,reference_numeric_dot,True,True
14,31,reference_content,"41. Wei, J. et al. Glucose uptake and Runx2 synergize to orchestrate osteoblast differentiation and bone formation. Cell 161, 1576–1591 (2015).","[78.0, 1297.0, 515.0, 1328.0]",reference_item,0.85,"[""reference content label: 41. Wei, J. et al. Glucose uptake and Runx2 synergize to orc""]",reference_item,0.85,reference_zone,reference_like,reference_numeric_dot,True,True
14,32,reference_content,"42. Li, Z. et al. Glucose transporter-4 facilitates insulin-stimulated glucose uptake in osteoblasts. Endocrinology 157, 4094–4103 (2016).","[77.0, 1329.0, 541.0, 1360.0]",reference_item,0.85,"[""reference content label: 42. Li, Z. et al. Glucose transporter-4 facilitates insulin-""]",reference_item,0.85,reference_zone,reference_like,reference_numeric_dot,True,True
14,33,reference_content,"43. Lee, W. C., Ji, X., Nissim, I. & Long, F. Malic enzyme couples mitochondria with aerobic glycolysis in osteoblasts. Cell Rep. 32, 108108 (2020).","[77.0, 1361.0, 573.0, 1392.0]",reference_item,0.85,"[""reference content label: 43. Lee, W. C., Ji, X., Nissim, I. & Long, F. Malic enzyme c""]",reference_item,0.85,reference_zone,reference_like,reference_numeric_dot,True,True
